"year","Chicago","DC","New York","San Francisco"
"2006",0,0,39,0
"2007",0,0,39,26
"2008",0,0,42,33
"2009",0,0,42,31
"2010",0,0,55,40
"2011",23,0,57,44
"2012",20,0,62,46
"2013",19,0,67,42
"2014",24,0,67,40
"2015",23,0,73,40
"2016",22,0,76,50
"2017",26,12,77,54
"2018",25,14,72,55
