in.county,hdd,cdd,switchover_lt15,switchover_lt20,switchover_lt25,switchover_lt30,switchover_lt35,switchover_lt40
G2200270,2945.605,2621.6425,0,19.54,96.9625,282.42,738.0825,1388.7325
G2200290,2132.4125,2159.2175,0,0,60.0125,221.4175,446.8725,817.075
G2200310,2580.2775,2495.8875,4.25,48.43,141.7825,317.0325,652.165,1159.27
G2200330,2001.3575,2668.3325,0,0,29.1125,95.37,373.835,736.1325
G2200350,2613.9175,2568.3775,0,1.9,31.74,232.065,540.3975,1094.375
G2200370,2001.3575,2668.3325,0,0,29.1125,95.37,373.835,736.1325
G2200390,1798.845,2727.33,0,0,0,38.56,178.6875,491.9475
G2200410,2542.52,2432.9825,0,3.755,127.7975,355.8525,611.8725,1030.5325
G2200430,2014.095,2621.73,0,3.8,36.6,103.075,345.4475,748.8725
G2200450,1913.8,2587.4125,0,0,10.2,37.68,216.675,570.9825
G2200470,2001.3575,2668.3325,0,0,29.1125,95.37,373.835,736.1325
G2200490,2542.52,2432.9825,0,3.755,127.7975,355.8525,611.8725,1030.5325
G2200510,1509.4575,2890.2975,0,0,0,43.1875,127.1325,397.095
G2200530,1964.03,2777.18,0,0,6.8425,87.9675,321.87,725.2125
G2200550,1798.845,2727.33,0,0,0,38.56,178.6875,491.9475
G2200570,1809.685,2829.9775,0,7.8025,67.265,173.9675,420.765,698.315
G2200590,2353.43,2462.555,0,0,27.3625,203.3125,512.695,913.7975
G2200610,2542.52,2432.9825,0,3.755,127.7975,355.8525,611.8725,1030.5325
G2200630,2001.3575,2668.3325,0,0,29.1125,95.37,373.835,736.1325
G2200650,2132.4125,2159.2175,0,0,60.0125,221.4175,446.8725,817.075
G2200670,2542.52,2432.9825,0,3.755,127.7975,355.8525,611.8725,1030.5325
G2200690,2398.5725,2468.9375,4.2125,59.3925,145.85,374.0975,713.295,1292.7375
G2200710,1343.2025,3046.7975,0,0,0,0,36.94,213.805
G2200730,2542.52,2432.9825,0,3.755,127.7975,355.8525,611.8725,1030.5325
G2200750,1392.31,2677,0,0,0,0,7.9425,98.285
G2200770,2001.3575,2668.3325,0,0,29.1125,95.37,373.835,736.1325
G2200790,2014.095,2621.73,0,3.8,36.6,103.075,345.4475,748.8725
G2200810,2774.4375,2370.99,23.7875,162.2275,412.1725,692.31,1085.545,1473.45
G2200830,2542.52,2432.9825,0,3.755,127.7975,355.8525,611.8725,1030.5325
G2200850,2398.5725,2468.9375,4.2125,59.3925,145.85,374.0975,713.295,1292.7375
G2200870,1392.31,2677,0,0,0,0,7.9425,98.285
G2200890,1509.4575,2890.2975,0,0,0,43.1875,127.1325,397.095
G2200910,2001.3575,2668.3325,0,0,29.1125,95.37,373.835,736.1325
G2200930,1809.685,2829.9775,0,7.8025,67.265,173.9675,420.765,698.315
G2200950,1509.4575,2890.2975,0,0,0,43.1875,127.1325,397.095
G2200970,1798.845,2727.33,0,0,0,38.56,178.6875,491.9475
G2200990,1798.845,2727.33,0,0,0,38.56,178.6875,491.9475
G2201010,1617.74,2609.7575,0,0,0,0,30.35,244.7575
G2201030,1343.2025,3046.7975,0,0,0,0,36.94,213.805
G2201050,1509.4575,2890.2975,0,0,0,43.1875,127.1325,397.095
G2201070,2132.4125,2159.2175,0,0,60.0125,221.4175,446.8725,817.075
G2201090,1809.685,2829.9775,0,7.8025,67.265,173.9675,420.765,698.315
G2201110,2542.52,2432.9825,0,3.755,127.7975,355.8525,611.8725,1030.5325
G2201130,1798.845,2727.33,0,0,0,38.56,178.6875,491.9475
G2201150,2398.5725,2468.9375,4.2125,59.3925,145.85,374.0975,713.295,1292.7375
G2201170,1343.2025,3046.7975,0,0,0,0,36.94,213.805
G2201190,2774.4375,2370.99,23.7875,162.2275,412.1725,692.31,1085.545,1473.45
G2201210,2001.3575,2668.3325,0,0,29.1125,95.37,373.835,736.1325
G2201230,2542.52,2432.9825,0,3.755,127.7975,355.8525,611.8725,1030.5325
G2201250,2001.3575,2668.3325,0,0,29.1125,95.37,373.835,736.1325
G2201270,2542.52,2432.9825,0,3.755,127.7975,355.8525,611.8725,1030.5325
G2300010,7823.505,536.04,1285.045,1878.6375,2590.8375,3429.5025,4745.7825,5752.2475
G2300030,9236.59,339.7825,2823.455,3486.3175,4174.3675,5071.1575,6291.0425,7373.72
G2300050,7665.705,452.52,1094.3625,1941.3275,2839.9125,3698,4832.9225,5817.3975
G2300070,8047.535,552.0125,1414.2325,2091.4625,3079.905,4158.1175,5317.955,6322.7625
G2300090,7985.8125,166.1625,1174.89,1547.3,2307.9325,3280.8725,4551.665,5825.58
G2300110,7643.395,472.0225,2350.17,3028.2125,3576.9325,4015.4975,4818.99,5614.15
G2300130,7401.7975,300.64,870.5925,1291.835,1973.3625,2760.5625,4095.6525,5373.87
G2300150,6911.1075,489.7575,701.7925,1113.19,1699.0025,2471.395,3680.33,4783.395
G2300170,7823.505,536.04,1285.045,1878.6375,2590.8375,3429.5025,4745.7825,5752.2475
G2300190,7726.16,589.31,1481.785,2332.0725,3108.5925,3771.705,4791.6675,5879.0575
G2300210,7726.16,589.31,1481.785,2332.0725,3108.5925,3771.705,4791.6675,5879.0575
G2300230,7414.7025,451.8525,1045.175,1852.45,2653.49,3421.475,4511.4275,5575.81
