in.county	hdd	cdd	switchover_lt05	switchover_lt10	switchover_lt15	switchover_lt20	switchover_lt25	switchover_lt30	switchover_lt35	switchover_lt40
G0600510	4546.795	1353.553333	0	0	4.295	151.5375	498.1075	895.8025	1627.0575	2523.1775
G0600530	3472.2575	82.65833333	0	0	0	0	0	3.0425	35.5025	317.63
G0600550	3767.2575	235.995	0	0	0	0	1.705	16.88	146.4675	626.875
G0600570	8448.4	332.4991667	283.72	434.47	698.4125	1237.8575	2270.3025	3528.9625	5061.0075	6496.91
G0600590	1487.8	271.5608333	0	0	0	0	0	0	0	6.8475
G0600610	3013.0625	1388.58	0	0	0	0	30.675	81.735	294.715	766.16
G0600630	8448.4	332.4991667	283.72	434.47	698.4125	1237.8575	2270.3025	3528.9625	5061.0075	6496.91
G0600650	2711.3875	1344.586667	0	0	0	0	6.85	36.245	155.0275	531.9725
G0600670	3224.11	908.5883333	0	0	0	0	0	13.5675	93.69	496.36
G0600690	3472.2575	82.65833333	0	0	0	0	0	3.0425	35.5025	317.63
G0600710	2231.9475	1052.269167	0	0	0	0	0	3.125	34.15	188.2275
G0600730	2275.605	392.8875	0	0	0	0	0	0	1.3	40.315
G0600750	3191.3	68.26583333	0	0	0	0	0	0	0	60.77
G0600770	3097.175	1104.271667	0	0	0	0	0	13.8075	201.5175	606.94
G0600790	3219.97	238.1858333	0	0	0	0	0	0	67.545	418.575
G0600810	3191.3	68.26583333	0	0	0	0	0	0	0	60.77
G0600830	2694.67	89.18166667	0	0	0	0	0	0	10.4975	234.5575
G0600850	2866.505	278.89	0	0	0	0	0	0	22.2425	297.7225
G0600870	2866.505	278.89	0	0	0	0	0	0	22.2425	297.7225
G0600890	3039	1440.9225	0	0	0	0	0	31.8075	193.28	721.2675
G0600910	8448.4	332.4991667	283.72	434.47	698.4125	1237.8575	2270.3025	3528.9625	5061.0075	6496.91
G0600930	5569.775	635.925	0	0	12.9375	71.58	401.3575	1008.1	1971.595	3160.52
G0600950	3203.9575	952.05	0	0	0	0	1.675	57.025	254.175	685.14
G0600970	3782.1725	439.8425	0	0	0	0	0	25.805	168.6975	504.63
G0600990	2683.605	1140.373333	0	0	0	0	0	1.5025	57.25	269.2675
G0601010	3042.835	1231.878333	0	0	0	0	0	10.675	117.47	534.14
G0601030	3164.05	1492.028333	0	0	0	0	0	6.01	137.5925	614.6825
G0601050	3039	1440.9225	0	0	0	0	0	31.8075	193.28	721.2675
G0601070	3433.345	1289.05	0	0	0	0	57.5175	198.3425	623.16	1212.98
G0601090	8172.6475	220.5441667	60.515	178.1925	426.215	1089.01	2064.545	3366.84	4924.635	6301.995
G0601110	2423.07	252.9616667	0	0	0	0	0	0	14.8925	185.8
G0601130	3180.34	1056.9325	0	0	0	0	0	7.565	243.44	679.0775
G0601150	3042.835	1231.878333	0	0	0	0	0	10.675	117.47	534.14
G0800010	6476.59	622.3408333	394.7075	525.8975	735.2825	1312.7975	1933.9025	2608.2225	3735.03	4665.9925
G0800030	9015.265	204.2625	1280.41	2011.3775	2816.2975	3839.525	4679.48	5365.51	6277.66	7237.94
G0800050	6476.59	622.3408333	394.7075	525.8975	735.2825	1312.7975	1933.9025	2608.2225	3735.03	4665.9925
G0800070	9015.265	204.2625	1280.41	2011.3775	2816.2975	3839.525	4679.48	5365.51	6277.66	7237.94
G0800090	5133.265	920.9391667	0	47.4575	205.2	592.95	1166.35	1791.0075	2552.7525	3388.4625
G0800110	5639.1475	1068.16	0	67.15	218.825	679.76	1463.8725	2313.025	3178.4525	4001.245
G0800130	6216.225	560.7125	269.84	474.915	688.48	986.6775	1496.0675	2220.975	3221.2825	4225.14
G0800140	6420.5875	450.2041667	129.94	284.0225	512.4925	982.265	1624.1125	2334.355	3408.45	4441.6425
G0800150	9015.265	204.2625	1280.41	2011.3775	2816.2975	3839.525	4679.48	5365.51	6277.66	7237.94
G0800170	6058.84	1021.479167	79.65	234.95	511.27	1130.5625	1850.6525	2720.185	3784.11	4641.2675
G0800190	10332.78	21.51666667	659.665	1223.945	2051.4175	3384.685	4858.39	6077.155	7378.36	8437.3875
G0800210	9015.265	204.2625	1280.41	2011.3775	2816.2975	3839.525	4679.48	5365.51	6277.66	7237.94
G0800230	7324.34	362.2283333	105.235	329.6825	765.1425	1520.7525	2476.265	3385.015	4577.3925	5561.455
G0800250	5639.1475	1068.16	0	67.15	218.825	679.76	1463.8725	2313.025	3178.4525	4001.245
G0800270	5728.7525	874.9675	223.5525	363.46	585.18	1047.02	1772.33	2461.9575	3350.7625	4103.8825
G0800290	6433.3925	667.57	96.715	275.44	649.64	1187.5375	1841.24	2751.5225	3813.2775	4731.03
G0800310	6476.59	622.3408333	394.7075	525.8975	735.2825	1312.7975	1933.9025	2608.2225	3735.03	4665.9925
G0800330	6516.9125	687.1225	49.735	162.375	403.9775	1037.7525	1760.1525	2525.3525	3677.2375	4717.595
G0800350	6476.59	622.3408333	394.7075	525.8975	735.2825	1312.7975	1933.9025	2608.2225	3735.03	4665.9925
G0800370	8515.4175	307.0175	790.5075	1239.805	1781.0275	2657.28	3627.7375	4648.425	5851.3775	6753.1275
G0800390	6476.59	622.3408333	394.7075	525.8975	735.2825	1312.7975	1933.9025	2608.2225	3735.03	4665.9925
G0800410	6485.3925	458.0933333	101.5125	294.53	543.4375	1248.88	2064.665	2673.4475	3598.16	4597.0725
G0800430	6485.3925	458.0933333	101.5125	294.53	543.4375	1248.88	2064.665	2673.4475	3598.16	4597.0725
G0800450	6544.6675	698.0816667	206.9875	364.555	721.695	1167.1025	1893.5575	2676.5175	3919.0625	4844.1525
G0800470	10332.78	21.51666667	659.665	1223.945	2051.4175	3384.685	4858.39	6077.155	7378.36	8437.3875
G0800490	10332.78	21.51666667	659.665	1223.945	2051.4175	3384.685	4858.39	6077.155	7378.36	8437.3875
G0800510	9612.695	138.2075	1405.655	1992.4425	2693.385	3768.675	4940.35	5906.785	7017.305	7936.5625
G0800530	9015.265	204.2625	1280.41	2011.3775	2816.2975	3839.525	4679.48	5365.51	6277.66	7237.94
G0800550	5728.7525	874.9675	223.5525	363.46	585.18	1047.02	1772.33	2461.9575	3350.7625	4103.8825
G0800570	8514.795	265.28	285.1225	639.135	1234.2825	2481.67	3583.0425	4623.4425	5887.045	6899.66
G0800590	6420.5875	450.2041667	129.94	284.0225	512.4925	982.265	1624.1125	2334.355	3408.45	4441.6425
G0800610	6058.84	1021.479167	79.65	234.95	511.27	1130.5625	1850.6525	2720.185	3784.11	4641.2675
G0800630	6492.875	622.2541667	96.4375	300.4925	695.3975	1214.635	1940.96	2680.55	3845.47	4781.7975
G0800650	10332.78	21.51666667	659.665	1223.945	2051.4175	3384.685	4858.39	6077.155	7378.36	8437.3875
G0800670	7460.4325	410.6833333	163.39	487.045	987.2475	1790.3525	2719.7575	3655.2425	4769.8325	5764.16
G0800690	7347.575	453.5366667	914.06	1199.98	1490.61	2023.915	2644.3	3441.1675	4392.3875	5424.025
G0800710	5757.49	637.09	205.8	332.2525	496.2475	870.0875	1396.5325	2186.405	3169.7925	3989.3075
G0800730	7112.74	434.0583333	297.6075	537.13	974.23	1739.32	2601.6075	3492.83	4492.9675	5376.82
G0800750	6492.875	622.2541667	96.4375	300.4925	695.3975	1214.635	1940.96	2680.55	3845.47	4781.7975
G0800770	5579.5025	934.1008333	0	18.965	113.0475	552.8175	1204.59	1994.2925	3074.1225	4053.87
G0800790	9612.695	138.2075	1405.655	1992.4425	2693.385	3768.675	4940.35	5906.785	7017.305	7936.5625
G0800810	9125.215	352.4325	1387.5725	1998.97	2752.0025	3873.6125	4830.6825	5545.8025	6555.1325	7488.7
G0800830	6516.9125	687.1225	49.735	162.375	403.9775	1037.7525	1760.1525	2525.3525	3677.2375	4717.595
G0800850	6433.3925	667.57	96.715	275.44	649.64	1187.5375	1841.24	2751.5225	3813.2775	4731.03
G0800870	6492.875	622.2541667	96.4375	300.4925	695.3975	1214.635	1940.96	2680.55	3845.47	4781.7975
G0800890	5639.1475	1068.16	0	67.15	218.825	679.76	1463.8725	2313.025	3178.4525	4001.245
G0800910	8515.4175	307.0175	790.5075	1239.805	1781.0275	2657.28	3627.7375	4648.425	5851.3775	6753.1275
G0800930	10332.78	21.51666667	659.665	1223.945	2051.4175	3384.685	4858.39	6077.155	7378.36	8437.3875
G0800950	6492.875	622.2541667	96.4375	300.4925	695.3975	1214.635	1940.96	2680.55	3845.47	4781.7975
G0800970	8705.8875	194.3641667	248.925	554.2	1205.68	2332.8025	3467.43	4515.0075	5756.8625	6884.69
G0800990	6058.84	1021.479167	79.65	234.95	511.27	1130.5625	1850.6525	2720.185	3784.11	4641.2675
G0801010	5728.7525	874.9675	223.5525	363.46	585.18	1047.02	1772.33	2461.9575	3350.7625	4103.8825
G0801030	9125.215	352.4325	1387.5725	1998.97	2752.0025	3873.6125	4830.6825	5545.8025	6555.1325	7488.7
G0801050	9015.265	204.2625	1280.41	2011.3775	2816.2975	3839.525	4679.48	5365.51	6277.66	7237.94
G0801070	8514.795	265.28	285.1225	639.135	1234.2825	2481.67	3583.0425	4623.4425	5887.045	6899.66
G0801090	9015.265	204.2625	1280.41	2011.3775	2816.2975	3839.525	4679.48	5365.51	6277.66	7237.94
G0801110	9015.265	204.2625	1280.41	2011.3775	2816.2975	3839.525	4679.48	5365.51	6277.66	7237.94
G0801130	6433.3925	667.57	96.715	275.44	649.64	1187.5375	1841.24	2751.5225	3813.2775	4731.03
G0801150	6492.875	622.2541667	96.4375	300.4925	695.3975	1214.635	1940.96	2680.55	3845.47	4781.7975
G0801170	10332.78	21.51666667	659.665	1223.945	2051.4175	3384.685	4858.39	6077.155	7378.36	8437.3875
G0801190	6485.3925	458.0933333	101.5125	294.53	543.4375	1248.88	2064.665	2673.4475	3598.16	4597.0725
G0801210	6492.875	622.2541667	96.4375	300.4925	695.3975	1214.635	1940.96	2680.55	3845.47	4781.7975
G0801230	7362.4	509.7	388.3925	681.5275	1105.04	1941.5225	2801.7425	3711.175	4751.665	5586.995
G0801250	6492.875	622.2541667	96.4375	300.4925	695.3975	1214.635	1940.96	2680.55	3845.47	4781.7975
G0900010	6222.745	358.7058333	299.0825	562.0825	891.2125	1264.1325	1798.71	2473.84	3353.8125	4230.73
G0900030	5658.645	402.7425	154.3325	393.5325	628.1825	1027.045	1493.9875	1902.635	2699.8775	3644.655
G0900050	6512.92	340.7591667	165.4775	333.8175	635.645	1189.095	1965.8425	2635.55	3569.725	4596.98
G0900070	5658.645	402.7425	154.3325	393.5325	628.1825	1027.045	1493.9875	1902.635	2699.8775	3644.655
G0900090	5541.8575	363.32	23.0625	73.3425	246.3125	507.685	849.37	1442.95	2471.605	3404.36
G0900110	5695.6125	203.1308333	23.19	70.6175	225.7975	507.85	882.4975	1435.6075	2365.095	3394.705
G0900130	5658.645	402.7425	154.3325	393.5325	628.1825	1027.045	1493.9875	1902.635	2699.8775	3644.655
G0900150	7274.9075	216.6075	223.595	525.8675	1103.68	1757.2675	2678.9325	3560.6625	4638.6625	5625.1275
G1000010	5104.6975	613.9283333	7.725	74.695	320.265	714.4575	1246.16	1699.9	2438.8775	3249.8225
G1000030	5207.9575	687.6041667	66.6725	167.3	314.6475	618.0725	1092.54	1612.185	2500.705	3363.3775
G1000050	4039.2575	893.2325	0	0	27.925	131.2875	402.105	838.0075	1488.7175	2134.15
G1100010	4369.69	999.1441667	0	16.75	75.5275	291.955	581.3625	874.905	1502.975	2400.065
G1200010	1551.19	1626.641667	0	0	0	0	0	20.1625	147.565	342.975
G1200030	1240.7575	1823.531667	0	0	0	0	0	3.0275	57.5175	198.7525
G1200050	1457.89	1867.059167	0	0	0	0	6.805	45.3125	143.875	392.0925
G1200070	1551.19	1626.641667	0	0	0	0	0	20.1625	147.565	342.975
G1200090	508.45	1971.974167	0	0	0	0	0	0	5.275	21.36
G1200110	204.6575	2704.403333	0	0	0	0	0	0	0	0
G1200130	2023.115	1351.620833	0	0	4.175	27.35	50.055	139.655	411.14	726.9
G1200150	386.5375	2517.906667	0	0	0	0	0	0	6.725	12.55
G1200170	1459.625	1689.898333	0	6.9	15.79	23.6075	58.3075	126.495	273.58	504.1325
G1200190	1240.7575	1823.531667	0	0	0	0	0	3.0275	57.5175	198.7525
G1200210	474.2075	2121.471667	0	0	0	0	0	0	0	6.525
G1200230	1551.19	1626.641667	0	0	0	0	0	20.1625	147.565	342.975
G1200270	386.5375	2517.906667	0	0	0	0	0	0	6.725	12.55
G1200290	1551.19	1626.641667	0	0	0	0	0	20.1625	147.565	342.975
G1200310	1240.7575	1823.531667	0	0	0	0	0	3.0275	57.5175	198.7525
G1200330	1343.0525	1651.131667	0	0	0	0	6.85	31.64	89.2775	204.0125
G1200350	966.9475	1717.3425	0	0	0	0	12.1225	26.0875	44.1275	97.5875
G1200370	1875.475	1544.925833	0	0	0	3.755	29.69	140.915	347.8575	629.3575
G1200390	1875.475	1544.925833	0	0	0	3.755	29.69	140.915	347.8575	629.3575
G1200410	1551.19	1626.641667	0	0	0	0	0	20.1625	147.565	342.975
G1200430	559.5075	2076.565833	0	0	0	0	0	0	0	6.45
G1200450	2023.115	1351.620833	0	0	4.175	27.35	50.055	139.655	411.14	726.9
G1200470	1770.96	1740.529167	0	0	0	0	8.825	24.375	187.915	486.84
G1200490	1162.5875	1956.343333	0	0	0	0	1.6675	18.6675	100.285	239.2475
G1200510	559.5075	2076.565833	0	0	0	0	0	0	0	6.45
G1200530	802.0725	2129.471667	0	0	0	0	0	4.545	20.745	97.4775
G1200550	1162.5875	1956.343333	0	0	0	0	1.6675	18.6675	100.285	239.2475
G1200570	802.0725	2129.471667	0	0	0	0	0	4.545	20.745	97.4775
