in.county	lt_05	05_to_10	10_to_15	15_to_20	20_to_25	25_to_30	30_to_35	35_to_40	gt_40
G0100010	0	0	27.61	59.325	122.2525	202.9175	376.76	551.205	1485.565
G0100030	0	0	0	3.8	17.4175	31.1	99.6775	260.04	1424.9875
G0100050	0	11.6825	27.865	95.7175	272.2225	425.4675	488.705	540.625	1552.795
G0100070	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0100090	0	0	21.97	48.55	141.6175	219.4875	364.415	516.7825	1609.49
G0100110	0	0	8.4925	11.97	53.5225	107.455	302.02	460.9925	1496.715
G0100130	0	0	0	7.6225	59.99	149.28	282.975	499.5625	1502.4775
G0100150	0	0	0	0	120.12	204.855	387.435	502.8925	1652.0575
G0100170	0	28.1025	41.605	76.0725	125.97	189.1875	360.365	485.8125	1568.45
G0100190	0	0	0	75.5175	261.3475	352.7375	398.35	569.305	1742.65
G0100210	0	0	27.61	59.325	122.2525	202.9175	376.76	551.205	1485.565
G0100230	0	0	0	30.97	108.4275	190.19	438.3575	474.9325	1601.2275
G0100250	0	0	0	30.97	108.4275	190.19	438.3575	474.9325	1601.2275
G0100270	0	0	0	0	120.12	204.855	387.435	502.8925	1652.0575
G0100290	0	0	0	0	120.12	204.855	387.435	502.8925	1652.0575
G0100310	0	0	12.7275	48.9475	139.8075	287.4675	359.3725	441.19	1347.1875
G0100330	18.1975	49.95	43.4675	50.9225	121.87	241.5725	317.0925	477.3325	1675.0725
G0100350	0	0	0	7.6225	59.99	149.28	282.975	499.5625	1502.4775
G0100370	0	0	27.61	59.325	122.2525	202.9175	376.76	551.205	1485.565
G0100390	0	0	12.7275	48.9475	139.8075	287.4675	359.3725	441.19	1347.1875
G0100410	0	0	8.4925	11.97	53.5225	107.455	302.02	460.9925	1496.715
G0100430	23.5575	57.9975	81.835	146.5375	324.525	246.605	528.8775	565.16	1645.365
G0100450	0	0	12.7275	48.9475	139.8075	287.4675	359.3725	441.19	1347.1875
G0100470	0	0	0	7.6225	59.99	149.28	282.975	499.5625	1502.4775
G0100490	0	0	0	75.5175	261.3475	352.7375	398.35	569.305	1742.65
G0100510	0	0	27.61	59.325	122.2525	202.9175	376.76	551.205	1485.565
G0100530	0	0	8.4925	11.97	53.5225	107.455	302.02	460.9925	1496.715
G0100550	0	0	0	75.5175	261.3475	352.7375	398.35	569.305	1742.65
G0100570	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0100590	18.1975	49.95	43.4675	50.9225	121.87	241.5725	317.0925	477.3325	1675.0725
G0100610	0	0	12.7275	48.9475	139.8075	287.4675	359.3725	441.19	1347.1875
G0100630	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0100650	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0100670	0	0	2.125	19.7875	34.85	65.0775	229.4125	503.9475	1437.745
G0100690	0	0	2.125	19.7875	34.85	65.0775	229.4125	503.9475	1437.745
G0100710	0	0	0	75.5175	261.3475	352.7375	398.35	569.305	1742.65
G0100730	0	0	21.97	48.55	141.6175	219.4875	364.415	516.7825	1609.49
G0100750	0	23.65	70.7025	138.5975	241.87	394.38	582.3225	625.38	1552.085
G0100770	18.1975	49.95	43.4675	50.9225	121.87	241.5725	317.0925	477.3325	1675.0725
G0100790	18.1975	49.95	43.4675	50.9225	121.87	241.5725	317.0925	477.3325	1675.0725
G0100810	0	28.1025	41.605	76.0725	125.97	189.1875	360.365	485.8125	1568.45
G0100830	23.5575	57.9975	81.835	146.5375	324.525	246.605	528.8775	565.16	1645.365
G0100850	0	0	0	7.6225	59.99	149.28	282.975	499.5625	1502.4775
G0100870	0	28.1025	41.605	76.0725	125.97	189.1875	360.365	485.8125	1568.45
G0100890	23.5575	57.9975	81.835	146.5375	324.525	246.605	528.8775	565.16	1645.365
G0100910	0	0	0	7.6	69.415	154.1925	314.2225	460.915	1542.445
G0100930	18.1975	49.95	43.4675	50.9225	121.87	241.5725	317.0925	477.3325	1675.0725
G0100950	0	0	0	75.5175	261.3475	352.7375	398.35	569.305	1742.65
G0100970	0	0	0	3.755	53.4625	109.4975	221.8375	320.4	1219.0525
G0100990	0	0	0	7.6225	59.99	149.28	282.975	499.5625	1502.4775
G0101010	0	0	27.61	59.325	122.2525	202.9175	376.76	551.205	1485.565
G0101030	23.5575	57.9975	81.835	146.5375	324.525	246.605	528.8775	565.16	1645.365
G0101050	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0101070	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0101090	0	0	8.4925	11.97	53.5225	107.455	302.02	460.9925	1496.715
G0101110	0	0	0	0	120.12	204.855	387.435	502.8925	1652.0575
G0101130	0	11.6825	27.865	95.7175	272.2225	425.4675	488.705	540.625	1552.795
G0101150	0	0	21.97	48.55	141.6175	219.4875	364.415	516.7825	1609.49
G0101170	0	0	21.97	48.55	141.6175	219.4875	364.415	516.7825	1609.49
G0101190	0	0	0	7.6	69.415	154.1925	314.2225	460.915	1542.445
G0101210	0	0	0	0	120.12	204.855	387.435	502.8925	1652.0575
G0101230	0	28.1025	41.605	76.0725	125.97	189.1875	360.365	485.8125	1568.45
G0101250	0	0	0	32.9225	137.8	251.7975	375.9075	552.52	1501.61
G0101270	0	0	21.97	48.55	141.6175	219.4875	364.415	516.7825	1609.49
G0101290	0	0	0	3.755	53.4625	109.4975	221.8375	320.4	1219.0525
G0101310	0	0	0	7.6225	59.99	149.28	282.975	499.5625	1502.4775
G0101330	18.1975	49.95	43.4675	50.9225	121.87	241.5725	317.0925	477.3325	1675.0725
G0200130	0	0	62.0375	570.33	674.255	870.045	1997.9425	2619.2525	2723.45
G0200160	20.285	14.385	36.6275	219.9775	490.95	918.945	1443.99	2391.76	3427.535
G0200200	206.9725	226.5025	520.8625	780.495	1042.19	1163.2075	1698.1075	1446.4125	1936.275
G0200500	2720.075	1175.1425	1196.3925	1158.17	720.3675	698.4475	1295.2675	1103.555	1992.2375
G0200600	1781.3275	641.6375	648.195	1012.39	727.0175	706.2075	1133.7075	1748.395	2328.37
G0200680	2546.8725	753.1575	715.5375	771.4825	704.395	815.0275	1149.05	1125.24	2247.465
G0200700	736.565	445.215	701.21	840.5875	975.825	1024.6925	1820.85	2000	1941.4925
G0200900	6250.555	1061.515	1136.585	949.62	627.9475	551.505	572.1375	554.56	1440.87
G0201000	323.065	377.565	399.6275	455.9225	654.8175	627.69	1297.705	1538.395	2712.0575
G0201050	56.2525	114.3075	333.92	817.2325	819.3025	948.9125	1753.5275	1561.69	2375.275
G0201100	194.4625	173.25	320.63	589.775	839.865	908.1	1202.2375	1504.5475	2750.7625
G0201220	880.0725	332.025	501	776.88	1012.2125	1229.5125	1751.635	1509.435	1999.3
G0201300	130.28	198.785	305.74	482.305	648.81	622.6225	1161.9425	1487.025	2926.48
G0201500	0	23.8675	107.08	331.515	441.6	683.97	1491.4625	2446.2325	2972.1525
G0201640	1781.3275	641.6375	648.195	1012.39	727.0175	706.2075	1133.7075	1748.395	2328.37
G0201700	460.775	311.605	560.92	792.5575	1186.315	1289.135	1354.225	1345.295	2192.455
G0201800	3219.085	1178.1175	1364.1725	1823.775	1047.3175	721.9975	1128.1575	961.13	1808.9725
G0201850	12039.3	1186.4325	859.8575	1186.47	921.3125	580.69	1467.1975	1135.9725	431.4225
G0201880	6543.16	1100.2025	1269.485	1433.85	929.2575	1051.8325	815.4125	672.6375	1405.45
G0201950	131.6575	245.0425	289.3025	386.4425	664.35	824.695	1139.4375	1742.7275	3027.2275
G0201980	0	40.025	218.1025	366.1075	383.6	613.955	856.85	1154.8025	3785.24
G0202200	0	0	176.47	597.09	654.9075	457.7	997.025	1590.24	3514.2175
G0202300	323.065	377.565	399.6275	455.9225	654.8175	627.69	1297.705	1538.395	2712.0575
G0202400	4950.7625	1329.4825	961.385	1052.815	887.1825	669.61	697.8025	548.6175	1563.97
G0202610	71.925	43.5	88.3	299.555	678.6325	1219.0275	2976.82	1481.5925	2299.6575
G0202700	1810.755	616.805	664.2475	1184.1325	1182.5225	1304.38	1655.775	1298.0925	1987.8475
G0202750	28.085	189.295	158.92	440.615	566.935	771.8475	967.51	1702.16	3216.5775
G0202820	107.9225	251.8925	271.2825	524.84	796.0675	811.1725	1818.73	1738.555	2677.6625
G0202900	5020.2	986.925	1046.49	1013.605	942.2525	976.7375	1247.5125	770.855	1470.595
G0400010	97.1025	152.01	326.9625	693.02	816.755	738.8525	936.67	949.3875	1794.0725
G0400030	0	0	0	1.8775	107.4575	174.31	411.6175	534.5925	1555.2625
G0400050	125.1625	112.5725	270.0375	662.4	882.2475	980.1675	1258.2975	1150.5625	1951.045
G0400070	0	4.67	28.9225	91.8875	254.25	368.655	788.3225	981.03	2036.1225
G0400090	0	0	0	0	34.5125	88.53	255.975	443.9975	1455.485
G0400110	0	0	0	0	34.5125	88.53	255.975	443.9975	1455.485
G0400120	0	0	0	0	0	0	1.2925	60.4425	1071.53
G0400130	0	0	0	0	0	0	0	77.99	1175.7775
G0400150	0	0	0	5.715	85.76	212.175	463.51	690.925	1836.345
G0400170	0	16.54	64.7325	290.1425	505.48	564.4925	806.955	942.205	1741.6375
G0400190	0	0	0	0	0	18.495	133.455	295.29	1505.04
G0400210	0	0	0	0	1.75	31.01	100.16	214.63	1487.0625
G0400230	0	0	0	1.8775	107.4575	174.31	411.6175	534.5925	1555.2625
G0400250	0	4.67	28.9225	91.8875	254.25	368.655	788.3225	981.03	2036.1225
G0400270	0	0	0	0	0	0	0	5.4725	829.7875
G0500010	0	0	0	15.2375	91.9475	146.1625	429.0825	703.485	1619.8825
G0500030	0	0	0	3.755	124.0425	228.055	256.02	418.66	1511.9875
G0500050	0	0	88.3525	177.5425	260.43	368.73	515.73	807.11	1681.5775
G0500070	0	35.85	48.175	231.105	275.87	407.5925	826.4475	915.5975	1799.85
G0500090	0	14.22	61.2025	276.2175	402.8225	309.03	479.4125	745.77	1709.885
G0500110	0	0	2.0875	106.69	307.3825	396.5775	595.065	660.61	1410.4825
G0500130	0	0	0	19.54	77.4225	185.4575	455.6625	650.65	1556.8725
G0500150	0	14.22	61.2025	276.2175	402.8225	309.03	479.4125	745.77	1709.885
G0500170	0	0	0	1.9	29.84	200.325	308.3325	553.9775	1519.5425
G0500190	0	0	8.575	87.3675	217.5125	311.375	552.2525	640.515	1555.8
G0500210	0	9.475	35.125	153.2925	217.415	361.715	608.8925	818.86	1679.9225
G0500230	13.1525	45.7675	138.475	239.6675	302.935	368.375	399.1675	609.29	1772.1475
G0500250	0	0	2.0875	106.69	307.3825	396.5775	595.065	660.61	1410.4825
G0500270	0	0	0	19.54	77.4225	185.4575	455.6625	650.65	1556.8725
G0500290	2.59	23.7625	110.0775	269.4075	352.165	336.7925	583.8825	566.4425	1385.0125
G0500310	0	28.275	138.9	349.21	482.3275	515.3825	835.4575	710.2775	1257.385
G0500330	15.4275	52.5325	108.5425	283.3375	390.0425	385.985	532.0475	592.375	1558.4475
G0500350	0	0	30.4775	115.7825	167.2125	287.42	443.73	543.7175	1532.03
G0500370	0	28.275	138.9	349.21	482.3275	515.3825	835.4575	710.2775	1257.385
G0500390	0	0	2.0875	106.69	307.3825	396.5775	595.065	660.61	1410.4825
G0500410	0	0	0	1.9	29.84	200.325	308.3325	553.9775	1519.5425
G0500430	0	0	2.0875	106.69	307.3825	396.5775	595.065	660.61	1410.4825
G0500450	2.59	23.7625	110.0775	269.4075	352.165	336.7925	583.8825	566.4425	1385.0125
G0500470	15.4275	52.5325	108.5425	283.3375	390.0425	385.985	532.0475	592.375	1558.4475
G0500490	0	0	88.3525	177.5425	260.43	368.73	515.73	807.11	1681.5775
G0500510	0	0	8.575	87.3675	217.5125	311.375	552.2525	640.515	1555.8
G0500530	15.4575	63.0125	35.3875	104.94	195.8275	300.065	481.35	660.5075	1487.625
G0500550	0	28.275	138.9	349.21	482.3275	515.3825	835.4575	710.2775	1257.385
G0500570	0	0	0	0	43.75	89.59	289.2625	557.4875	1621.8625
G0500590	0	0	8.575	87.3675	217.5125	311.375	552.2525	640.515	1555.8
G0500610	0	0	0	0	43.75	89.59	289.2625	557.4875	1621.8625
G0500630	13.1525	45.7675	138.475	239.6675	302.935	368.375	399.1675	609.29	1772.1475
G0500650	13.1525	45.7675	138.475	239.6675	302.935	368.375	399.1675	609.29	1772.1475
G0500670	13.1525	45.7675	138.475	239.6675	302.935	368.375	399.1675	609.29	1772.1475
G0500690	0	0	2.0875	106.69	307.3825	396.5775	595.065	660.61	1410.4825
G0500710	15.4275	52.5325	108.5425	283.3375	390.0425	385.985	532.0475	592.375	1558.4475
G0500730	0	0	0	0	43.75	89.59	289.2625	557.4875	1621.8625
G0500750	0	9.475	35.125	153.2925	217.415	361.715	608.8925	818.86	1679.9225
G0500770	0	0	0	15.2375	91.9475	146.1625	429.0825	703.485	1619.8825
G0500790	0	0	2.0875	106.69	307.3825	396.5775	595.065	660.61	1410.4825
G0500810	0	0	0	0	43.75	89.59	289.2625	557.4875	1621.8625
G0500830	15.4275	52.5325	108.5425	283.3375	390.0425	385.985	532.0475	592.375	1558.4475
G0500850	2.59	23.7625	110.0775	269.4075	352.165	336.7925	583.8825	566.4425	1385.0125
G0500870	0	106.7925	189.3225	223.085	355.355	528.9125	437.6725	555.7175	1806.78
G0500890	0	0	88.3525	177.5425	260.43	368.73	515.73	807.11	1681.5775
G0500910	0	0	0	0	43.75	89.59	289.2625	557.4875	1621.8625
G0500930	43.8275	102.5725	159.13	183.6775	232.87	328.305	492.845	547.5375	1715.1175
G0500950	0	0	0	15.2375	91.9475	146.1625	429.0825	703.485	1619.8825
G0500970	0	0	8.575	87.3675	217.5125	311.375	552.2525	640.515	1555.8
G0500990	0	0	0	0	43.75	89.59	289.2625	557.4875	1621.8625
G0501010	0	14.22	61.2025	276.2175	402.8225	309.03	479.4125	745.77	1709.885
G0501030	0	0	0	19.54	77.4225	185.4575	455.6625	650.65	1556.8725
G0501050	15.4575	63.0125	35.3875	104.94	195.8275	300.065	481.35	660.5075	1487.625
G0501070	0	0	0	15.2375	91.9475	146.1625	429.0825	703.485	1619.8825
G0501090	0	0	8.575	87.3675	217.5125	311.375	552.2525	640.515	1555.8
G0501110	0	28.275	138.9	349.21	482.3275	515.3825	835.4575	710.2775	1257.385
G0501130	15.4275	52.5325	108.5425	283.3375	390.0425	385.985	532.0475	592.375	1558.4475
G0501150	0	0	8.575	87.3675	217.5125	311.375	552.2525	640.515	1555.8
G0501170	0	0	0	15.2375	91.9475	146.1625	429.0825	703.485	1619.8825
G0501190	15.4575	63.0125	35.3875	104.94	195.8275	300.065	481.35	660.5075	1487.625
G0501210	0	9.475	35.125	153.2925	217.415	361.715	608.8925	818.86	1679.9225
G0501230	0	0	30.4775	115.7825	167.2125	287.42	443.73	543.7175	1532.03
G0501250	15.4575	63.0125	35.3875	104.94	195.8275	300.065	481.35	660.5075	1487.625
G0501270	15.4275	52.5325	108.5425	283.3375	390.0425	385.985	532.0475	592.375	1558.4475
G0501290	13.1525	45.7675	138.475	239.6675	302.935	368.375	399.1675	609.29	1772.1475
G0501310	15.4275	52.5325	108.5425	283.3375	390.0425	385.985	532.0475	592.375	1558.4475
G0501330	0	0	0	0	43.75	89.59	289.2625	557.4875	1621.8625
G0501350	13.1525	45.7675	138.475	239.6675	302.935	368.375	399.1675	609.29	1772.1475
G0501370	13.1525	45.7675	138.475	239.6675	302.935	368.375	399.1675	609.29	1772.1475
G0501390	0	0	0	19.54	77.4225	185.4575	455.6625	650.65	1556.8725
G0501410	2.59	23.7625	110.0775	269.4075	352.165	336.7925	583.8825	566.4425	1385.0125
G0501430	68.32	64.98	93.5575	358.17	350.3975	308.8375	454.6275	587.3875	1577.6
G0501450	13.1525	45.7675	138.475	239.6675	302.935	368.375	399.1675	609.29	1772.1475
G0501470	13.1525	45.7675	138.475	239.6675	302.935	368.375	399.1675	609.29	1772.1475
G0501490	0	0	8.575	87.3675	217.5125	311.375	552.2525	640.515	1555.8
G0600010	0	0	0	0	0	1.465	35.505	122.0675	2642.1675
G0600030	60.515	117.6775	248.0225	662.795	975.535	1302.295	1557.795	1377.36	1870.6525
G0600050	60.515	117.6775	248.0225	662.795	975.535	1302.295	1557.795	1377.36	1870.6525
G0600070	0	0	0	0	0	10.675	106.795	416.67	2508.695
G0600090	60.515	117.6775	248.0225	662.795	975.535	1302.295	1557.795	1377.36	1870.6525
G0600110	0	0	0	0	0	10.675	106.795	416.67	2508.695
G0600130	0	0	0	0	0	0	47.9575	390.1625	2738.87
G0600150	0	0	0	0	0	0	12.8575	292.295	4613.675
G0600170	60.515	117.6775	248.0225	662.795	975.535	1302.295	1557.795	1377.36	1870.6525
G0600190	0	0	0	0	0	18.465	142.89	441.3425	2049.9975
G0600210	0	0	0	0	0	6.01	131.5825	477.09	2549.3675
G0600230	0	0	0	0	0	13.845	175.6275	650.11	4165.6125
G0600250	0	0	0	0	0	0	5.2	70.33	1197.3
G0600270	0	0	4.295	147.2425	346.57	397.695	731.255	896.12	2023.6175
G0600290	0	0	0	0	0	0	29.0875	291.645	2036.795
G0600310	0	0	0	0	1.675	73.3275	277.2075	589.7475	2099.84
G0600330	0	0	0	0	0	25.805	142.8925	335.9325	3277.5425
G0600350	46.95	70.31	89.7575	380.775	784.94	777.01	1437.215	1384.3775	1972.285
G0600370	0	0	0	0	5.2725	3.05	4.1925	11.4325	1604.415
G0600390	0	0	0	0	0	18.465	142.89	441.3425	2049.9975
G0600410	0	0	0	0	1.705	15.175	129.5875	480.4075	3140.3825
G0600430	0	0	0	0	0	27.24	100.9575	309.3525	2411.71
G0600450	0	0	0	0	6.7	54.2	253.8	667.315	2862.3725
G0600470	0	0	0	0	0	27.24	100.9575	309.3525	2411.71
G0600490	46.95	70.31	89.7575	380.775	784.94	777.01	1437.215	1384.3775	1972.285
G0600510	0	0	4.295	147.2425	346.57	397.695	731.255	896.12	2023.6175
G0600530	0	0	0	0	0	3.0425	32.46	282.1275	3154.6275
G0600550	0	0	0	0	1.705	15.175	129.5875	480.4075	3140.3825
G0600570	283.72	150.75	263.9425	539.445	1032.445	1258.66	1532.045	1435.9025	1951.49
G0600590	0	0	0	0	0	0	0	6.8475	1480.9525
G0600610	0	0	0	0	30.675	51.06	212.98	471.445	2246.9025
G0600630	283.72	150.75	263.9425	539.445	1032.445	1258.66	1532.045	1435.9025	1951.49
G0600650	0	0	0	0	6.85	29.395	118.7825	376.945	2179.415
G0600670	0	0	0	0	0	13.5675	80.1225	402.67	2727.75
G0600690	0	0	0	0	0	3.0425	32.46	282.1275	3154.6275
G0600710	0	0	0	0	0	3.125	31.025	154.0775	2043.72
G0600730	0	0	0	0	0	0	1.3	39.015	2235.29
G0600750	0	0	0	0	0	0	0	60.77	3130.53
G0600770	0	0	0	0	0	13.8075	187.71	405.4225	2490.235
G0600790	0	0	0	0	0	0	67.545	351.03	2801.395
G0600810	0	0	0	0	0	0	0	60.77	3130.53
G0600830	0	0	0	0	0	0	10.4975	224.06	2460.1125
G0600850	0	0	0	0	0	0	22.2425	275.48	2568.7825
G0600870	0	0	0	0	0	0	22.2425	275.48	2568.7825
G0600890	0	0	0	0	0	31.8075	161.4725	527.9875	2317.7325
G0600910	283.72	150.75	263.9425	539.445	1032.445	1258.66	1532.045	1435.9025	1951.49
G0600930	0	0	12.9375	58.6425	329.7775	606.7425	963.495	1188.925	2409.255
G0600950	0	0	0	0	1.675	55.35	197.15	430.965	2518.8175
G0600970	0	0	0	0	0	25.805	142.8925	335.9325	3277.5425
G0600990	0	0	0	0	0	1.5025	55.7475	212.0175	2414.3375
G0601010	0	0	0	0	0	10.675	106.795	416.67	2508.695
G0601030	0	0	0	0	0	6.01	131.5825	477.09	2549.3675
G0601050	0	0	0	0	0	31.8075	161.4725	527.9875	2317.7325
G0601070	0	0	0	0	57.5175	140.825	424.8175	589.82	2220.365
G0601090	60.515	117.6775	248.0225	662.795	975.535	1302.295	1557.795	1377.36	1870.6525
G0601110	0	0	0	0	0	0	14.8925	170.9075	2237.27
G0601130	0	0	0	0	0	7.565	235.875	435.6375	2501.2625
G0601150	0	0	0	0	0	10.675	106.795	416.67	2508.695
G0800010	394.7075	131.19	209.385	577.515	621.105	674.32	1126.8075	930.9625	1810.5975
G0800030	1280.41	730.9675	804.92	1023.2275	839.955	686.03	912.15	960.28	1777.325
G0800050	394.7075	131.19	209.385	577.515	621.105	674.32	1126.8075	930.9625	1810.5975
G0800070	1280.41	730.9675	804.92	1023.2275	839.955	686.03	912.15	960.28	1777.325
G0800090	0	47.4575	157.7425	387.75	573.4	624.6575	761.745	835.71	1744.8025
G0800110	0	67.15	151.675	460.935	784.1125	849.1525	865.4275	822.7925	1637.9025
G0800130	269.84	205.075	213.565	298.1975	509.39	724.9075	1000.3075	1003.8575	1991.085
G0800140	129.94	154.0825	228.47	469.7725	641.8475	710.2425	1074.095	1033.1925	1978.945
G0800150	1280.41	730.9675	804.92	1023.2275	839.955	686.03	912.15	960.28	1777.325
G0800170	79.65	155.3	276.32	619.2925	720.09	869.5325	1063.925	857.1575	1417.5725
G0800190	659.665	564.28	827.4725	1333.2675	1473.705	1218.765	1301.205	1059.0275	1895.3925
G0800210	1280.41	730.9675	804.92	1023.2275	839.955	686.03	912.15	960.28	1777.325
G0800230	105.235	224.4475	435.46	755.61	955.5125	908.75	1192.3775	984.0625	1762.885
G0800250	0	67.15	151.675	460.935	784.1125	849.1525	865.4275	822.7925	1637.9025
G0800270	223.5525	139.9075	221.72	461.84	725.31	689.6275	888.805	753.12	1624.87
G0800290	96.715	178.725	374.2	537.8975	653.7025	910.2825	1061.755	917.7525	1702.3625
G0800310	394.7075	131.19	209.385	577.515	621.105	674.32	1126.8075	930.9625	1810.5975
G0800330	49.735	112.64	241.6025	633.775	722.4	765.2	1151.885	1040.3575	1799.3175
G0800350	394.7075	131.19	209.385	577.515	621.105	674.32	1126.8075	930.9625	1810.5975
G0800370	790.5075	449.2975	541.2225	876.2525	970.4575	1020.6875	1202.9525	901.75	1762.29
G0800390	394.7075	131.19	209.385	577.515	621.105	674.32	1126.8075	930.9625	1810.5975
G0800410	101.5125	193.0175	248.9075	705.4425	815.785	608.7825	924.7125	998.9125	1888.32
G0800430	101.5125	193.0175	248.9075	705.4425	815.785	608.7825	924.7125	998.9125	1888.32
G0800450	206.9875	157.5675	357.14	445.4075	726.455	782.96	1242.545	925.09	1700.515
G0800470	659.665	564.28	827.4725	1333.2675	1473.705	1218.765	1301.205	1059.0275	1895.3925
G0800490	659.665	564.28	827.4725	1333.2675	1473.705	1218.765	1301.205	1059.0275	1895.3925
G0800510	1405.655	586.7875	700.9425	1075.29	1171.675	966.435	1110.52	919.2575	1676.1325
G0800530	1280.41	730.9675	804.92	1023.2275	839.955	686.03	912.15	960.28	1777.325
G0800550	223.5525	139.9075	221.72	461.84	725.31	689.6275	888.805	753.12	1624.87
G0800570	285.1225	354.0125	595.1475	1247.3875	1101.3725	1040.4	1263.6025	1012.615	1615.135
G0800590	129.94	154.0825	228.47	469.7725	641.8475	710.2425	1074.095	1033.1925	1978.945
G0800610	79.65	155.3	276.32	619.2925	720.09	869.5325	1063.925	857.1575	1417.5725
G0800630	96.4375	204.055	394.905	519.2375	726.325	739.59	1164.92	936.3275	1711.0775
G0800650	659.665	564.28	827.4725	1333.2675	1473.705	1218.765	1301.205	1059.0275	1895.3925
G0800670	163.39	323.655	500.2025	803.105	929.405	935.485	1114.59	994.3275	1696.2725
G0800690	914.06	285.92	290.63	533.305	620.385	796.8675	951.22	1031.6375	1923.55
G0800710	205.8	126.4525	163.995	373.84	526.445	789.8725	983.3875	819.515	1768.1825
G0800730	297.6075	239.5225	437.1	765.09	862.2875	891.2225	1000.1375	883.8525	1735.92
G0800750	96.4375	204.055	394.905	519.2375	726.325	739.59	1164.92	936.3275	1711.0775
G0800770	0	18.965	94.0825	439.77	651.7725	789.7025	1079.83	979.7475	1525.6325
G0800790	1405.655	586.7875	700.9425	1075.29	1171.675	966.435	1110.52	919.2575	1676.1325
G0800810	1387.5725	611.3975	753.0325	1121.61	957.07	715.12	1009.33	933.5675	1636.515
G0800830	49.735	112.64	241.6025	633.775	722.4	765.2	1151.885	1040.3575	1799.3175
G0800850	96.715	178.725	374.2	537.8975	653.7025	910.2825	1061.755	917.7525	1702.3625
G0800870	96.4375	204.055	394.905	519.2375	726.325	739.59	1164.92	936.3275	1711.0775
G0800890	0	67.15	151.675	460.935	784.1125	849.1525	865.4275	822.7925	1637.9025
G0800910	790.5075	449.2975	541.2225	876.2525	970.4575	1020.6875	1202.9525	901.75	1762.29
G0800930	659.665	564.28	827.4725	1333.2675	1473.705	1218.765	1301.205	1059.0275	1895.3925
G0800950	96.4375	204.055	394.905	519.2375	726.325	739.59	1164.92	936.3275	1711.0775
G0800970	248.925	305.275	651.48	1127.1225	1134.6275	1047.5775	1241.855	1127.8275	1821.1975
G0800990	79.65	155.3	276.32	619.2925	720.09	869.5325	1063.925	857.1575	1417.5725
G0801010	223.5525	139.9075	221.72	461.84	725.31	689.6275	888.805	753.12	1624.87
G0801030	1387.5725	611.3975	753.0325	1121.61	957.07	715.12	1009.33	933.5675	1636.515
G0801050	1280.41	730.9675	804.92	1023.2275	839.955	686.03	912.15	960.28	1777.325
G0801070	285.1225	354.0125	595.1475	1247.3875	1101.3725	1040.4	1263.6025	1012.615	1615.135
G0801090	1280.41	730.9675	804.92	1023.2275	839.955	686.03	912.15	960.28	1777.325
G0801110	1280.41	730.9675	804.92	1023.2275	839.955	686.03	912.15	960.28	1777.325
G0801130	96.715	178.725	374.2	537.8975	653.7025	910.2825	1061.755	917.7525	1702.3625
G0801150	96.4375	204.055	394.905	519.2375	726.325	739.59	1164.92	936.3275	1711.0775
G0801170	659.665	564.28	827.4725	1333.2675	1473.705	1218.765	1301.205	1059.0275	1895.3925
G0801190	101.5125	193.0175	248.9075	705.4425	815.785	608.7825	924.7125	998.9125	1888.32
G0801210	96.4375	204.055	394.905	519.2375	726.325	739.59	1164.92	936.3275	1711.0775
G0801230	388.3925	293.135	423.5125	836.4825	860.22	909.4325	1040.49	835.33	1775.405
G0801250	96.4375	204.055	394.905	519.2375	726.325	739.59	1164.92	936.3275	1711.0775
G0900010	299.0825	263	329.13	372.92	534.5775	675.13	879.9725	876.9175	1992.015
G0900030	154.3325	239.2	234.65	398.8625	466.9425	408.6475	797.2425	944.7775	2013.99
G0900050	165.4775	168.34	301.8275	553.45	776.7475	669.7075	934.175	1027.255	1915.94
G0900070	154.3325	239.2	234.65	398.8625	466.9425	408.6475	797.2425	944.7775	2013.99
G0900090	23.0625	50.28	172.97	261.3725	341.685	593.58	1028.655	932.755	2137.4975
G0900110	23.19	47.4275	155.18	282.0525	374.6475	553.11	929.4875	1029.61	2300.9075
G0900130	154.3325	239.2	234.65	398.8625	466.9425	408.6475	797.2425	944.7775	2013.99
G0900150	223.595	302.2725	577.8125	653.5875	921.665	881.73	1078	986.465	1649.78
G1000010	7.725	66.97	245.57	394.1925	531.7025	453.74	738.9775	810.945	1854.875
G1000030	66.6725	100.6275	147.3475	303.425	474.4675	519.645	888.52	862.6725	1844.58
G1000050	0	0	27.925	103.3625	270.8175	435.9025	650.71	645.4325	1905.1075
G1100010	0	16.75	58.7775	216.4275	289.4075	293.5425	628.07	897.09	1969.625
G1200010	0	0	0	0	0	20.1625	127.4025	195.41	1208.215
G1200030	0	0	0	0	0	3.0275	54.49	141.235	1042.005
G1200050	0	0	0	0	6.805	38.5075	98.5625	248.2175	1065.7975
G1200070	0	0	0	0	0	20.1625	127.4025	195.41	1208.215
G1200090	0	0	0	0	0	0	5.275	16.085	487.09
G1200110	0	0	0	0	0	0	0	0	204.6575
