in.county	lt_05	05_to_10	10_to_15	15_to_20	20_to_25	25_to_30	30_to_35	35_to_40	gt_40
G4800330	0	12.0425	50.2325	166.735	305.69	334.8925	592.955	849.0775	1534.3175
G4800350	0	0	2.125	38.735	64.91	134.2325	328.365	502.505	1426.555
G4800370	0	0	0	0	43.75	89.59	289.2625	557.4875	1621.8625
G4800390	0	0	0	0	0	0	6.4325	95.1	1078.11
G4800410	0	0	0	9.4325	22.285	42.955	178.105	290.7125	1321.7725
G4800430	35.4475	33.245	75.49	67.195	136.395	282.07	490.4975	696.095	1888.305
G4800450	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4800470	0	0	0	0	5.0175	4.65	18.6425	75.9125	1014.6675
G4800490	0	0	0	0	56.9925	250.8075	333.165	561.5625	1490.58
G4800510	0	0	0	9.4325	22.285	42.955	178.105	290.7125	1321.7725
G4800530	0	0	16.8575	42.79	170.6775	278.195	257.3625	427.04	1167.56
G4800550	0	0	0	0	8.3375	49.745	99.04	204.9175	1154.3775
G4800570	0	0	0	0	3.335	67.4375	216.5775	308.95	890.7675
G4800590	0	56.79	198.4425	185.1325	270.9625	259.78	320.6375	529.9125	1443.115
G4800610	0	0	0	0	0	0	15.9225	91.28	829.1175
G4800630	0	0	0	0	3.335	111.9775	282.9725	369.72	1636.985
G4800650	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4800670	0	0	0	0	43.75	89.59	289.2625	557.4875	1621.8625
G4800690	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4800710	0	0	0	0	11.89	87.3975	197.2525	240.5	1055.02
G4800730	0	0	0	17.43	48.1	78.7575	203.2325	413.965	1385.4525
G4800750	0	14.52	19.785	97.5875	132.725	305.08	514.3675	800.2075	1763.995
G4800770	0	2.335	13.29	63.23	217.875	325.0025	403.3875	563.35	1589.225
G4800790	0	12.0425	50.2325	166.735	305.69	334.8925	592.955	849.0775	1534.3175
G4800810	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4800830	0	56.79	198.4425	185.1325	270.9625	259.78	320.6375	529.9125	1443.115
G4800850	0	6.9225	17.1425	75.6525	258.355	255.6625	510.75	441.9875	1347.39
G4800870	0	14.52	19.785	97.5875	132.725	305.08	514.3675	800.2075	1763.995
G4800890	0	0	0	0	22.6375	43.5925	85.53	224.7975	1124.5275
G4800910	0	0	0	7.5925	45.915	181.465	303.395	329.8725	1114.61
